
=========== Page Simulation ===========
----------- FIFO Start -----------
~~~~~ First In First Out ~~~~~
Memory: [ 5 X X X ]   Page Referenced: 5 | No eviction
Memory: [ 5 X X X ]   Page Referenced: 5 | No eviction
Memory: [ 5 6 X X ]   Page Referenced: 6 | No eviction
Memory: [ 5 6 2 X ]   Page Referenced: 2 | No eviction
Memory: [ 5 6 2 4 ]   Page Referenced: 4 | No eviction
Memory: [ 5 6 2 4 ]   Page Referenced: 5 | No eviction
Memory: [ 5 6 2 4 ]   Page Referenced: 4 | No eviction
Memory: [ 5 6 2 4 ]   Page Referenced: 5 | No eviction
Memory: [ 5 6 2 4 ]   Page Referenced: 5 | No eviction
Memory: [ 6 2 4 8 ]   Page Referenced: 8 | Page 5 evicted
Memory: [ 6 2 4 8 ]   Page Referenced: 8 | No eviction
Memory: [ 2 4 8 7 ]   Page Referenced: 7 | Page 6 evicted
Memory: [ 4 8 7 6 ]   Page Referenced: 6 | Page 2 evicted
Memory: [ 4 8 7 6 ]   Page Referenced: 6 | No eviction
Memory: [ 8 7 6 1 ]   Page Referenced: 1 | Page 4 evicted
Memory: [ 7 6 1 2 ]   Page Referenced: 2 | Page 8 evicted
Memory: [ 7 6 1 2 ]   Page Referenced: 1 | No eviction
Memory: [ 6 1 2 0 ]   Page Referenced: 0 | Page 7 evicted
Memory: [ 6 1 2 0 ]   Page Referenced: 1 | No eviction
Memory: [ 6 1 2 0 ]   Page Referenced: 2 | No eviction
Memory: [ 6 1 2 0 ]   Page Referenced: 2 | No eviction
Memory: [ 6 1 2 0 ]   Page Referenced: 1 | No eviction
Memory: [ 6 1 2 0 ]   Page Referenced: 0 | No eviction
Memory: [ 1 2 0 9 ]   Page Referenced: 9 | Page 6 evicted
Memory: [ 1 2 0 9 ]   Page Referenced: 9 | No eviction
Memory: [ 1 2 0 9 ]   Page Referenced: 0 | No eviction
Memory: [ 1 2 0 9 ]   Page Referenced: 1 | No eviction
Memory: [ 1 2 0 9 ]   Page Referenced: 0 | No eviction
Memory: [ 1 2 0 9 ]   Page Referenced: 9 | No eviction
Memory: [ 2 0 9 8 ]   Page Referenced: 8 | Page 1 evicted
Memory: [ 2 0 9 8 ]   Page Referenced: 9 | No eviction
Memory: [ 2 0 9 8 ]   Page Referenced: 0 | No eviction
Memory: [ 2 0 9 8 ]   Page Referenced: 0 | No eviction
Memory: [ 0 9 8 1 ]   Page Referenced: 1 | Page 2 evicted
Memory: [ 0 9 8 1 ]   Page Referenced: 1 | No eviction
Memory: [ 0 9 8 1 ]   Page Referenced: 0 | No eviction
Memory: [ 0 9 8 1 ]   Page Referenced: 1 | No eviction
Memory: [ 9 8 1 5 ]   Page Referenced: 5 | Page 0 evicted
Memory: [ 8 1 5 6 ]   Page Referenced: 6 | Page 9 evicted
Memory: [ 1 5 6 7 ]   Page Referenced: 7 | Page 8 evicted
Memory: [ 1 5 6 7 ]   Page Referenced: 5 | No eviction
